PlayerID,TeamID,FName,LName,DOB,Height(ft),Height(in),Weight(lb),DraftYear
902,9,Jaylen,Adams,1996-05-04,6,2,190,
903,9,Justin,Anderson,1993-11-19,6,6,230,
904,9,Kent,Bazemore,1989-07-01,6,5,201,
905,9,DeAndre',Bembry,1994-07-04,6,6,210,
906,9,Vince,Carter,1977-01-26,6,6,220,
907,9,John,Collins,1997-09-23,6,10,235,
908,9,Dewayne,Dedmon,1989-08-12,7,0,245,
910,9,Kevin,Huerter,1998-08-27,6,7,190,
911,9,Alex,Len,1993-06-16,7,1,250,
912,9,Miles,Plumlee,1988-09-01,6,11,249,
913,9,Alex,Poythress,1993-09-06,6,9,235,
914,9,Taurean,Prince,1994-03-22,6,8,220,
915,9,Omari,Spellman,1997-07-21,6,9,245,
916,9,Trae,Young,1998-09-19,6,2,180,
1001,10,Bam,Adebayo,1997-07-18,6,10,255,
1002,10,Ryan,Anderson,1988-05-06,6,10,240,
1003,10,Goran,Dragic,1986-05-06,6,3,190,
1004,10,Udonis,Haslem,1980-06-09,6,8,235,
1005,10,James,Johnson,1987-02-20,6,8,240,
1006,10,Derrick,Jones Jr.,1997-02-15,6,7,200,
1007,10,Yante,Maten,1996-08-14,6,8,240,
1008,10,Rodney,McGruder,1991-07-29,6,4,200,
1009,10,Kelly,Olynyk,1991-04-19,7,0,240,
1010,10,Josh,Richardson,1993-09-15,6,6,200,
1011,10,Duncan,Robinson,1994-04-22,6,8,210,
1012,10,Dwyane,Wade,1982-01-17,6,4,220,
1013,10,Dion,Waiters,1991-12-10,6,4,215,
1014,10,Hassan,Whiteside,1989-06-13,7,0,265,
1015,10,Justise,Winslow,1996-03-26,6,7,225,
1101,11,Dwayne,Bacon,1995-08-30,6,7,221,
1102,11,Nicolas,Batum,1988-12-14,6,8,200,
1103,11,Bismack,Biyombo,1992-08-28,6,9,255,
1104,11,Miles,Bridges,1998-03-21,6,7,225,
1105,11,Joe,Chealey,1995-11-01,6,3,190,
1106,11,Devonte',Graham,1995-02-22,6,2,185,
1107,11,Wily,Hernagomez,1994-05-27,6,11,240,
1108,11,Frank,Kaminsky,1993-04-04,7,0,242,
1109,11,Michael,Kidd-Gilchrist,1993-09-26,6,7,232,
1110,11,Jeremy,Lamb,1992-05-30,6,5,185,
1111,11,Shelvin,Mack,1990-04-22,6,3,203,
1112,11,J.P.,Macura,1995-06-05,6,5,205,
1113,11,Malik,Monk,1998-02-04,6,3,200,
1114,11,Tony,Parker,1982-05-17,6,2,185,
1115,11,Kemba,Walker,1990-05-08,6,1,184,
1116,11,Marvin,Williams,1986-06-19,6,9,237,
1117,11,Cody,Zeller,1992-10-05,7,0,240,
1201,12,Grayson,Allen,1995-10-08,6,5,198,
1202,12,Tony,Bradley,1998-01-08,6,10,248,
1203,12,Tyler,Cavanaugh,1994-02-09,6,9,238,
1204,12,Jae,Crowder,1990-07-06,6,6,235,
1205,12,Dante,Exum,1995-07-13,6,6,190,
1206,12,Derrick,Favors,1991-07-15,6,10,265,
1207,12,Rudy,Gobert,1992-06-26,7,1,245,
1208,12,Joe,Ingles,1987-10-02,6,8,226,
1209,12,Kyle,Korver,1981-03-17,6,7,212,
1210,12,Donovan,Mitchell,1996-09-07,6,3,215,
1211,12,Naz,Mitrou-Long,1993-08-03,6,4,218,
1212,12,Raul,Neto,1992-05-19,6,1,179,
1213,12,Georges,Niang,1993-06-17,6,8,230,
1214,12,Royce,O'Neale,1993-06-05,6,6,226,
1215,12,Ricky,Rubio,1990-10-21,6,4,190,
1216,12,Thabo,Sefolosha,1984-05-02,6,7,220,
1217,12,Ekpe,Udoh,1987-05-20,6,10,245,
1301,13,Marvin,Bagley III,1999-03-14,6,11,234,
1302,13,Harrison,Barnes,1992-05-30,6,8,225,
1303,13,Nemanja,Bjelica,1988-05-09,6,10,234,
1304,13,Bogdan,Bogdanovic,1992-08-18,6,6,205,
1305,13,Corey,Brewer,1986-03-05,6,9,186,
1306,13,Alec,Burks,1991-07-20,6,6,214,
1307,13,Willie,Cauley-Stein,1993-08-18,7,0,240,
1308,13,Yogi,Ferrell,1993-05-09,6,0,180,
1309,13,De'Aaron,Fox,1997-12-20,6,3,175,
1310,13,Wenyen,Gabriel,1997-03-26,6,9,205,
1311,13,Harry,Giles III,1998-04-22,6,10,240,
1312,13,Buddy,Hield,1992-12-17,6,4,214,
1313,13,Kosta,Koufos,1989-02-24,7,0,245,
1314,13,Frank,Mason,1994-04-03,5,11,190,
1315,13,Caleb,Swanigan,1997-04-18,6,9,250,
1316,13,Troy,Williams,1994-12-30,6,7,218,
1401,14,Kadeem,Allen,1993-01-15,6,3,200,
1402,14,Damyean,Dotson,1994-05-06,6,6,210,
1403,14,Mario,Hezonja,1995-02-25,6,8,225,
1404,14,Isaiah,Hicks,1994-07-24,6,9,230,
1405,14,John,Jenkins,1991-03-06,6,4,215,
1406,14,DeAndre,Jordan,1988-07-21,6,11,265,
1407,14,Kevin,Knox,1999-08-11,6,9,215,
1408,14,Luke,Kornet,1995-07-15,7,1,250,
1409,14,Emmanuel,Mudiay,1996-03-05,6,5,200,
1410,14,Frank,Ntilikina,1998-07-28,6,6,200,
1411,14,Mitchell,Robinson,1998-04-01,7,1,240,
1412,14,Dennis,Smith Jr.,1997-11-25,6,3,195,
1413,14,Lance,Thomas,1988-04-24,6,8,240,
1414,14,Allonzo,Trier,1996-01-17,6,5,200,
1415,14,Noah,Vonleh,1995-08-24,6,3,250,
1501,15,Lonzo,Ball,1997-10-27,6,6,190,
1502,15,Isaac,Bonga,1999-11-08,6,8,180,
1503,15,Reggie,Bullock,1991-03-16,6,7,205,
1504,15,Kentavious,Caldwell-Pope,1993-02-18,6,5,205,
1505,15,Alex,Caruso,1994-02-28,6,5,186,
1506,15,Tyson,Chandler,1982-10-02,7,1,240,
1507,15,Josh,Hart,1995-03-06,6,5,215,
1508,15,Brandon,Ingram,1997-09-02,6,9,190,
1509,15,LeBron,James,1984-12-30,6,8,250,
1510,15,Kyle,Kuzma,1995-07-24,6,9,220,
1511,15,JaVale,McGee,1988-01-19,7,0,270,
1512,15,Mike,Muscala,1991-07-01,6,11,240,
1513,15,Rajon,Rondo,1986-02-22,6,1,186,
1514,15,Lance,Stephenson,1990-09-05,6,6,230,
1515,15,Moritz,Wagner,1997-04-26,6,11,245,
1516,15,Johnathan,Williams,1995-05-22,6,9,228,
1601,16,D.J.,Augustin,1987-11-10,6,0,183,
1602,16,Mo,Bamba,1998-05-12,6,11,225,
1603,16,Khem,Birch,1992-09-28,6,9,220,
1604,16,Isaiah,Briscoe,1996-04-13,6,3,220,
1605,16,Troy,Caupain,1995-11-29,6,4,210,
1606,16,Evan,Fournier,1992-10-29,6,7,205,
1607,16,Melvin,Frazier Jr.,1996-08-30,6,6,200,
1608,16,Markelle,Fultz,1998-05-29,6,4,200,
1609,16,Aaron,Gordon,1995-09-16,6,9,220,
1610,16,Jerian,Grant,1992-10-09,6,4,205,
1611,16,Jonathan,Isaac,1997-10-03,6,10,210,
1612,16,Wes,Iwundu,1994-12-20,6,7,195,
1613,16,Amile,Jefferson,1993-05-07,6,9,224,
1614,16,Jarell,Martin,1994-05-24,6,10,239,
1615,16,Timofey,Mozgov,1986-07-16,7,1,275,
1616,16,Terrence,Ross,1991-02-05,6,7,206,
1617,16,Nikola,Vucevic,1990-10-24,7,0,260,
1701,17,Kostas,Antetokounmpo,1997-11-20,6,10,200,
1702,17,J.J.,Barea,1984-06-26,6,0,185,
1703,17,Ryan,Broekhoff,1990-08-23,6,7,215,
1704,17,Jalen,Brunson,1996-08-31,6,3,190,
1705,17,Trey,Burke,1992-11-12,6,1,175,
1706,17,Luka,Doncic,1999-02-28,6,7,218,
1707,17,Dorian,Finney-Smith,1993-05-04,6,8,220,
1708,17,Tim,Hardaway Jr.,1992-03-16,6,6,205,
1709,17,Devin,Harris,1983-02-27,6,3,185,
1710,17,Justin,Jackson,1995-03-28,6,8,210,
1712,17,Maxi,Kleber,1992-01-29,6,11,240,
1713,17,Courtney,Lee,1985-10-03,6,5,215,
1714,17,Daryl,Macon,1995-11-29,6,3,185,
1715,17,Salah,Mejri,1986-06-15,7,2,235,
1716,17,Dirk,Nowitzki,1978-06-19,7,0,245,
1717,17,Kristaps,Porzingis,1995-08-02,7,3,240,
1718,17,Dwight,Powell,1991-07-20,6,11,240,
,18,Jarrett,Allen,1998-04-21,6,11,237,
,18,DeMarre,Carroll,1986-07-27,6,8,215,
,18,Allen,Crabbe,1992-04-09,6,6,212,
,18,Ed,Davis,1989-06-05,6,10,225,
,18,Spencer,Dinwiddie,1993-04-06,6,6,210,
,18,Jared,Dudley,1985-07-10,6,7,237,
,18,Treveon,Graham,1993-10-28,6,5,225,
,18,Joe,Harris,1991-09-06,6,6,218,
,18,Rondae,Hollis-Jefferson,1995-01-03,6,7,217,
,18,Rodions,Kurucs,1998-02-05,6,9,210,
,18,Caris,LeVert,1994-08-25,6,7,204,
,18,Dzanan,Musa,1999-05-08,6,9,208,
,18,Shabazz,Napier,1991-07-14,6,1,180,
,18,Theo,Pinson,1995-11-05,6,6,218,
,18,D'Angelo,Russell,1996-02-23,6,5,198,
,18,Alan,Williams,1993-01-28,6,8,265,
,19,Will,Barton,1991-01-06,6,6,190,
,19,Malik,Beasley,1996-11-26,6,5,195,
,19,Torrey,Craig,1990-12-19,6,7,215,
,19,Brandon,Goodwin,1995-10-02,6,2,180,
,19,Gary,Harris,1994-09-14,6,4,210,
,19,Juancho,Hernangomez,1995-09-28,6,9,230,
,19,Nikola,Jokic,1995-02-19,7,0,250,
,19,Tyler,Lydon,1996-04-09,6,10,225,
,19,Trey,Lyles,1995-11-05,6,10,234,
,19,Paul,Millsap,1985-02-10,6,8,246,
,19,Monte,Morris,1995-06-27,6,3,175,
,19,Jamal,Murray,1997-02-23,6,4,207,
,19,Mason,Plumlee,1990-03-05,6,11,235,
,19,Michael,Porter Jr.,1998-06-29,6,10,210,
,19,Isaiah,Thomas,1989-02-07,5,9,185,
,19,Jarred,Vanderbilt,1999-04-03,6,9,214,
,19,Thomas,Welsh,1996-02-03,7,0,255,
,20,Bojan,Bogdanovic,1989-04-18,6,8,216,
,20,Darren,Collison,1987-08-23,6,0,175,
,20,Tyreke,Evans,1989-09-19,6,6,220,
,20,Aaron,Holiday,1996-09-30,6,1,185,
,20,Alize,Johnson,1996-04-22,6,9,212,
,20,Cory,Joseph,1991-08-20,6,3,193,
,20,TJ,Leaf,1997-04-30,6,10,225,
,20,Wesley,Matthews,1986-10-14,6,5,220,
,20,Doug,McDermott,1992-01-03,6,8,225,
,20,Victor,Oladipo,1992-05-04,6,4,210,
,20,Kyle,O'Quinn,1990-03-26,6,10,250,
,20,Davon,Reed,1995-06-11,6,5,208,
,20,Domantas,Sabonis,1996-05-03,6,11,240,
,20,Edmond,Sumner,1995-12-31,6,6,176,
,20,Myles,Turner,1996-03-24,6,11,250,
,20,Thaddeus,Young,1988-06-21,6,8,221,
,21,Ian,Clark,1991-03-07,6,3,175,
,21,Anthony,Davis,1993-03-11,6,10,253,
,21,Cheick,Diallo,1996-09-13,6,9,220,
,21,Tim,Frazier,1990-11-01,6,1,170,
,21,Solomon,Hill,1991-03-18,6,7,225,
,21,Jrue,Holiday,1990-06-12,6,4,205,
,21,Frank,Jackson,1998-05-04,6,3,205,
,21,Stanley,Johnson,1996-05-29,6,7,245,
,21,Darius,Miller,1990-03-21,6,8,225,
,21,E'Twaun,Moore,1989-02-25,6,4,191,
,21,Jahlil,Okafor,1995-12-15,6,11,275,
,21,Elfrid,Payton,1994-02-22,6,4,185,
,21,Julius,Randle,1994-11-29,6,9,250,
,21,Jason,Smith,1986-03-02,7,0,240,
,21,Kenrich,Williams,1994-12-02,6,7,210,
,22,Bruce,Brown,1996-08-15,6,5,202,
,22,Jose,Calderon,1981-09-28,6,3,200,
,22,Andre,Drummond,1993-08-10,6,11,279,
,22,Wayne,Ellington,1987-11-29,6,5,200,
,22,Langston,Galloway,1991-12-09,6,2,200,
,22,Blake,Griffin,1989-03-16,6,10,250,
,22,Reggie,Jackson,1990-04-16,6,3,208,
,22,Luke,Kennard,1996-06-24,6,5,206,
,22,Jon,Leuer,1989-05-14,6,10,228,
,22,Kalin,Lucas,1989-05-24,6,1,195,
,22,Thon,Maker,1997-02-25,7,1,221,
,22,Svi,Mykhailiuk,1997-06-10,6,8,205,
,22,Zaza,Pachulia,1984-02-10,6,11,270,
,22,Glenn,Robinson III,1994-01-08,6,6,222,
,22,Ish,Smith,1988-07-05,6,0,175,
,22,Khyri,Thomas,1996-05-08,6,3,210,
,22,Isaiah,Whitehead,1995-03-08,6,4,213,
,23,OG,Anunoby,1997-07-17,6,8,232,
,23,Chris,Boucher,1993-01-11,6,10,200,
,23,Marc,Gasol,1985-01-29,7,1,255,
,23,Danny,Green,1987-06-22,6,6,215,
,23,Serge,Ibaka,1989-09-18,6,10,235,
,23,Kawhi,Leonard,1991-06-29,6,7,230,
,23,Jeremy,Lin,1988-08-23,6,3,200,
,23,Kyle,Lowry,1986-03-25,6,1,196,
,23,Jordan,Loyd,1993-07-27,6,4,210,
,23,Patrick,McCaw,1995-10-25,6,7,185,
,23,Malcolm,Miller,1993-03-06,6,7,210,
,23,Norman,Powell,1993-05-25,6,4,215,
,23,Pascal,Siakam,1994-04-02,6,9,230,
,23,Fred,VanVleet,1994-02-25,6,0,195,
,24,Clint,Capela,1994-05-18,6,10,240,
,24,Gary,Clark,1994-11-16,6,8,225,
,24,Vincent,Edwards,1996-04-05,6,8,225,
,24,Kenneth,Faried,1989-11-19,6,8,220,
,24,Eric,Gordon,1988-12-25,6,4,215,
,24,Gerald,Green,1986-01-26,6,7,205,
,24,James,Harden,1989-08-26,6,5,220,
,24,Isaiah,Hartenstein,1998-05-05,7,0,249,
,24,Danuel,House Jr.,1993-06-07,6,7,220,
,24,,Nene,1982-09-13,6,11,250,
,24,Chris,Paul,1985-05-06,6,0,175,
,24,Austin,Rivers,1992-08-01,6,4,200,
,24,Iman,Shumpert,1990-06-26,6,5,215,
,24,PJ,Tucker,1985-05-05,6,6,245,
,25,LaMarcus,Aldridge,1985-07-19,6,11,260,
,25,Marco,Belinelli,1986-03-25,6,5,210,
,25,Davis,Bertans,1992-11-12,6,10,225,
,25,Dante,Cunningham,1987-04-22,6,8,230,
,25,DeMar,DeRozan,1989-08-07,6,7,220,
,25,Drew,Eubanks,1997-02-01,6,10,245,
,25,Bryn,Forbes,1993-07-23,6,3,190,
,25,Pau,Gasol,1980-07-06,7,0,250,
,25,Rudy,Gay,1986-08-17,6,8,230,
,25,Chimezie,Metu,1997-03-22,6,10,225,
,25,Patty,Mills,1988-08-11,6,0,180,
,25,Ben,Moore,1995-05-13,6,8,220,
,25,Dejounte,Murray,1996-09-19,6,5,170,
,25,Jakob,Poeltl,1995-10-15,7,0,230,
,25,Quincy,Pondexter,1988-03-10,6,7,230,
,25,Lonnie,Walker IV,1998-12-14,6,5,205,
,25,Derrick,White,1994-07-02,6,4,190,
,26,Deandre,Ayton,1998-07-23,7,1,250,
,26,Dragan,Bender,1997-11-17,7,1,225,
,26,Devin,Booker,1996-10-30,6,6,210,
,26,Mikal,Bridges,1996-08-30,6,7,210,
,26,Jamal,Crawford,1980-03-20,6,5,185,
,26,Troy,Daniels,1991-07-15,6,4,205,
,26,Jawun,Evans,1996-07-26,6,0,190,
,26,Richaun,Holmes,1993-10-15,6,10,235,
,26,Josh,Jackson,1997-02-10,6,8,200,
,26,Tyler,Johnson,1992-05-07,6,4,190,
,26,George,King,1994-01-15,6,6,220,
,26,De'Anthony,Melton,1998-05-28,6,4,200,
,26,Elie,Okobo,1997-10-23,6,3,190,
,26,Kelly,Oubre Jr.,1995-12-09,6,7,205,
,26,Emanuel,Terry,1996-08-21,6,9,220,
,26,T.J.,Warren,1993-09-05,6,8,215,
,27,Steven,Adams,1993-07-20,7,0,265,
,27,Deonte,Burton,1994-01-31,6,5,245,
,27,Hamidou,Diallo,1998-07-31,6,5,198,
,27,Raymond,Felton,1984-06-26,6,1,205,
,27,Terrance,Ferguson,1998-05-17,6,7,190,
,27,Paul,George,1990-05-02,6,9,220,
,27,Jerami,Grant,1994-03-12,6,9,220,
,27,Donte,Grantham,1995-03-19,6,8,215,
,27,Scotty,Hopson,1989-08-08,6,7,200,
,27,Abdel,Nader,1993-09-25,6,6,225,
,27,Nerlens,Noel,1994-04-10,6,11,220,
,27,Patrick,Petterson,1989-03-14,6,9,230,
,27,Andre,Roberson,1991-12-04,6,7,210,
,27,Dennis,Schroder,1993-09-15,6,1,172,
,27,Richard,Solomon,1992-06-18,6,11,235,
,27,Russell,Westbrook,1988-11-12,6,3,200,
,28,Keita,Bates-Diop,1996-01-23,6,9,229,
,28,Jerryd,Bayless,1988-08-20,6,3,200,
,28,Isaiah,Cannan,1991-05-21,6,0,200,
,28,Robert,Covington,1990-12-14,6,9,225,
,28,Luol,Deng,1985-04-16,6,9,237,
,28,Gorgui,Dieng,1990-01-18,6,11,252,
,28,Taj,Gibson,1985-06-24,6,9,232,
,28,Tyus,Jones,1996-05-10,6,2,196,
,28,Josh,Okogie,1998-09-01,6,4,212,
,28,Derrick,Rose,1988-10-04,6,3,200,
,28,Dario,Saric,1994-04-08,6,10,223,
,28,Jeff,Teague,1988-06-10,6,2,195,
,28,Jared,Terrell,1995-02-10,6,3,227,
,28,Anthony,Tolliver,1985-06-01,6,8,250,
,28,Karl-Anthony,Towns,1995-11-15,7,0,248,
,28,Andrew,Wiggins,1995-02-23,6,8,194,
,28,C.J.,Williams,1990-02-06,6,5,226,
,29,Jordan,Bell,1995-01-07,6,9,224,
,29,Quinn,Cook,1993-03-23,6,2,179,
,29,DeMarcus,Cousins,1990-08-13,6,11,270,
,29,Stephen,Curry,1988-03-14,6,3,190,
,29,Marcus,Derrickson,1996-02-01,6,7,249,
,29,Kevin,Durant,1988-09-29,6,9,240,
,29,Jacob,Evans,1997-06-18,6,6,210,
,29,Draymond,Green,1990-03-04,6,7,230,
,29,Andre,Iguodala,1984-01-28,6,6,215,
,29,Jonas,Jerebko,1987-03-02,6,10,231,
,29,Damian,Jones,1995-06-30,7,0,245,
,29,Damion,Lee,1992-10-21,6,6,210,
,29,Shaun,Livingston,1985-09-11,6,7,192,
,29,Kevon,Looney,1996-02-06,6,9,220,
,29,Alfonzo,McKinnie,1992-09-17,6,8,215,
,29,Klay,Thompson,1990-02-08,6,7,215,
,30,Trevor,Ariza,1985-06-30,6,8,215,
,30,Bradley,Beal,1993-06-28,6,5,207,
,30,Troy,Brown Jr.,1999-07-28,6,7,215,
,30,Thomas,Bryant,1997-07-31,6,11,248,
,30,Sam,Dekker,1994-05-08,6,9,230,
,30,Jeff,Green,1986-08-28,6,9,235,
,30,Dwight,Howard,1985-12-08,6,11,265,
,30,Wesley,Johnson,1987-07-11,6,7,215,
,30,Ian,Mahinmi,1986-11-05,6,11,262,
,30,Jordan,McRae,1991-03-28,6,5,179,
,30,Jabari,Parker,1995-03-15,6,8,245,
,30,Bobby,Portis,1995-02-10,6,11,250,
,30,Chasson,Randle,1993-02-05,6,2,185,
,30,Devin,Robinson,1995-03-07,6,8,200,
,30,Tomas,Satoransky,1991-10-30,6,7,210,
,30,John,Wall,1990-09-06,6,4,210,
